rank,name,popularity,total_rating,total_rating_count,release_date,genre
1,Hades,3.897610335260958,99.26512408045869,15,2019-Dec-10,Role-playing (RPG)
2,OFF,1.891572410849526,97.9217552612466,17,2008-Jun-05,Puzzle
3,Cry of Fear,2.337346481468469,97.57968263054529,19,2013-Apr-25,Shooter
4,Superfighters Deluxe,121.362275464686,96.2490072464631,78,2018-Nov-30,Fighting
5,Heroes of Might and Magic 3: Complete,6.572327567809535,95.7757462709783,34,2000,NULL
6,My Grandfather's Farm,3.006019722202703,95.0439882697947,18,2018-Aug-30,Role-playing (RPG)
7,Deus Ex: Game of the Year Edition,2.783144821699051,94.56683758369832,15,2000-Jun-22,Shooter
8,Unreal Tournament: Game of the Year Edition,2.783112462132648,93.86874871926639,15,2000-Oct-25,Shooter
9,Freedom Force vs. The 3rd Reich,1.0,93.1037075540178,10,2005-Mar-08,Role-playing (RPG)
10,Homeworld: Remastered Collection,81.90946212884235,92.3865231639,42,2015-Feb-25,Real Time Strategy (RTS)
11,IL-2 Sturmovik: 1946,2.783128641957958,92.09479582065265,12,2007-Jan,Shooter
12,Spelunky,1.668679308137144,91.4943420184596,23,2008-Dec-21,Platform
13,The Isle,6.795115501931105,91.11111111111111,11,2015-Dec-01,Fighting
14,Serious Sam Classic: The First Encounter,11.25308272476954,91.1106584529236,26,2001-Mar-21,Shooter
15,System Shock 2,5.012075848822866,91.09826790012801,169,1999-Aug-11,Shooter
16,Company of Heroes,4.789182746110484,90.61154572752865,120,2006-Sep-29,Real Time Strategy (RTS)
17,Might and Magic VI: The Mandate of Heaven,2.114455401223724,90.35892150932129,18,1998-Apr-30,Role-playing (RPG)
18,1nsane,1.445786205424763,89.963239166254,10,2000-Q4,Racing
19,Space Rangers HD: A War Apart,3.228931027123814,89.8854902448891,11,2013-Nov-08,Role-playing (RPG)
20,Total War: Warhammer II - Serpent God Edition,1.0,89.8779446960518,10,2017-Sep-28,Real Time Strategy (RTS)
21,Startopia,1.668673240734234,89.85265022010505,10,2001-Jun-15,Real Time Strategy (RTS)
22,Squad,15.48792021590841,89.8371982751527,36,2015-Dec-15,Shooter
23,Robo Recall,1.445786205424763,89.83192156353485,11,2017-Mar-01,Shooter
24,Arcanum: Of Steamworks and Magick Obscura,9.692831005782875,89.69080412311669,67,2001-Aug-21,Role-playing (RPG)
25,Thief II: The Metal Age,4.120475123426427,89.3749884612019,81,2000-Mar-21,Shooter
26,Outcast,1.668679308137144,89.06745877962865,22,1999-Jul-31,Shooter
27,Downfall,1.668673240734234,89.00341623112891,16,2016-Feb-15,Point-and-click
28,Space Rangers,1.44578216048949,88.86487647558545,10,2004-Jun-11,Role-playing (RPG)
29,Command & Conquer: Red Alert 2,4.566257283915917,88.68034996461255,200,2000-Oct-23,Real Time Strategy (RTS)
30,GentleMoon 2,21.95157143005861,88.46153846153851,13,2016-Jun-07,Shooter
31,Severance: Blade of Darkness,4.12050343797334,88.184673434143,25,2001-Feb-21,Fighting
32,Shogun: Total War,2.114455401223724,88.13088936314139,32,2000-Jun-13,Real Time Strategy (RTS)
33,Dungeon Keeper 2,3.228931027123814,88.08580559352731,83,1999-Jun-30,Real Time Strategy (RTS)
34,Portal Stories: Mel,1.668673240734234,88.07553653598531,14,2015-Jul-25,Puzzle
35,AMID EVIL,6.572327567809535,87.90486490790616,14,2019-Jun-20,NULL
36,Blade Runner,1.668673240734234,87.72093249853,33,1997-Oct-31,Point-and-click
37,Anno 1503,2.337346481468469,87.71689649299519,15,2003-Mar-23,Real Time Strategy (RTS)
38,SWAT 4,9.246969969055556,87.6668641788014,67,2005-Apr-05,Shooter
39,Might and Magic VII: For Blood and Honor,1.891564320978979,87.6030763490333,18,1999-May-31,Role-playing (RPG)
40,Battlefield 2,11.25308272476954,87.4597819137511,194,2005-Jun-21,Shooter
41,Warlords Battlecry III,29.30716719108258,87.4269969939197,10,2004-May-17,Real Time Strategy (RTS)
42,The King of Fighters 2002: Unlimited Match,2.114465513561907,87.3666146499028,10,2015-Feb-27,Fighting
43,I Wanna Be the Guy,4.343396540685721,87.2469536211088,11,2007-Oct-05,Shooter
44,GT Legends,1.0,87.2249406663003,10,2005-Oct-15,Racing
45,Desperados: Wanted Dead Or Alive,6.572277006118619,87.18738179945211,51,2001-Jul-23,Real Time Strategy (RTS)
