rank,title,score,user_score,release_date
1,Half-Life 2,9.1,9.1,2004-11-16
2,The Orange Box,9.2,9.2,2007-10-10
3,Half-Life,9.0,9.0,1998-11-19
4,BioShock,8.5,8.5,2007-08-21
5,Portal 2,9.1,9.1,2011-04-18
6,Quake,8.8,8.8,1996-06-22
7,BioShock Infinite,8.6,8.6,2013-03-25
8,Half-Life: Alyx,9.1,9.1,2020-03-23
9,Unreal Tournament 2004,8.8,8.8,2004-03-16
10,Beat Saber,8.0,8.0,2019-05-21
11,Call of Duty 4: Modern Warfare,8.5,8.5,2007-11-05
12,Team Fortress 2,9.1,9.1,2007-10-10
13,Unreal Tournament (1999),9.0,9.0,1999-11-30
14,Medal of Honor: Allied Assault,8.6,8.6,2002-01-20
15,Overwatch,6.5,6.5,2016-05-23
16,Crysis,8.1,8.1,2007-11-13
17,Star Wars Jedi Knight: Dark Forces II,8.6,8.6,1997-10-09
18,The Operative: No One Lives Forever,8.7,8.7,2000-11-11
19,Battlefield 2,8.4,8.4,2005-06-21
20,Street Fighter IV,7.8,7.8,2009-07-01
21,Fez,6.7,6.7,2013-05-01
22,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,8.7,8.7,2002-09-30
23,Mark of the Ninja,8.0,8.0,2012-10-16
24,Call of Duty,8.5,8.5,2003-10-29
25,World of Goo,8.4,8.4,2008-10-12
26,Return to Castle Wolfenstein: Enemy Territory,8.9,8.9,2003-05-29
27,Spelunky,7.2,7.2,2013-08-08
28,N++,7.3,7.3,2016-08-25
29,F.E.A.R. Combat,7.6,7.6,2006-08-17
30,Portal,9.2,9.2,2007-10-10
31,Metro: 2033 Redux,8.0,8.0,2014-08-25
32,Tadpole Treble,7.1,7.1,2016-09-02
33,Stephen's Sausage Roll,5.4,5.4,2016-04-18
34,Half-Life 2: Episode Two,9.1,9.1,2007-10-10
35,Braid,8.6,8.6,2009-04-10
36,The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,8.6,8.6,2004-12-08
37,Deus Ex: Human Revolution,8.5,8.5,2011-08-23
38,Linelight,8.0,8.0,2017-01-30
39,Star Wars Jedi Knight II: Jedi Outcast,8.7,8.7,2002-03-26
40,Rocksmith 2014 Edition,7.9,7.9,2013-10-22
41,Street Fighter V: Arcade Edition,7.0,7.0,2018-01-16
42,Ori and the Will of the Wisps,8.5,8.5,2020-03-11
43,Dead Cells,7.9,7.9,2018-08-07
44,Left 4 Dead,9.1,9.1,2008-11-17
45,Left 4 Dead 2,8.4,8.4,2009-11-16
46,Shovel Knight: Plague of Shadows,8.3,8.3,2015-09-17
47,Borderlands 2,8.2,8.2,2012-09-17
48,Max Payne,9.1,9.1,2001-07-23
49,Duke Nukem 3D,8.7,8.7,1996-01-29
50,Far Cry,8.0,8.0,2004-03-23
51,Nuclear Throne,7.7,7.7,2015-12-05
52,Descent 3,7.7,7.7,2000-06-14
53,Descent II,8.7,8.7,1996-02-29
54,Rez Infinite,7.2,7.2,2017-08-09
55,Battlefield 3,7.6,7.6,2011-10-25
56,Battlefield 1942,8.6,8.6,2002-09-10
57,Pinball FX3,6.7,6.7,2017-09-26
58,Rayman Legends,8.5,8.5,2013-09-03
59,DUSK,8.2,8.2,2018-12-10
60,LIMBO,8.1,8.1,2011-08-02
61,F.E.A.R.,8.3,8.3,2005-10-17
62,Tribes 2,8.3,8.3,2001-03-28
63,Super Hexagon,8.3,8.3,2012-11-27
64,Far Cry 3,8.3,8.3,2012-12-04
65,Cuphead,8.2,8.2,2017-09-29
66,Return to Castle Wolfenstein,8.7,8.7,2001-11-19
67,Ori and the Blind Forest: Definitive Edition,8.8,8.8,2016-04-27
68,Shogo: Mobile Armor Division,8.4,8.4,1998-09-30
69,DOOM Eternal,7.3,7.3,2020-03-20
70,Apex Legends,5.9,5.9,2019-02-04
71,The Stanley Parable,8.0,8.0,2013-10-17
72,Guacamelee! Gold Edition,7.3,7.3,2013-08-08
73,BioShock 2,8.0,8.0,2010-02-09
74,Counter-Strike: Source,8.9,8.9,2004-10-07
75,Battlefield 1,7.1,7.1,2016-10-21
76,Counter-Strike,9.2,9.2,2000-11-08
77,Celeste,8.0,8.0,2018-01-25
78,Ori and the Blind Forest,8.7,8.7,2015-03-11
79,DOOM 3,7.7,7.7,2004-08-03
80,Super Meat Boy,8.2,8.2,2010-11-30
81,Oddworld: Abe's Oddysee - New 'n' Tasty,7.7,7.7,2015-02-25
82,Battlefield: Bad Company 2,8.3,8.3,2010-03-02
83,Crypt of the NecroDancer,7.7,7.7,2015-04-23
84,Half-Life 2: Episode One,8.6,8.6,2006-06-01
85,The Swapper,8.6,8.6,2013-05-30
86,Baba Is You,7.9,7.9,2019-03-13
87,Max Payne 3,7.7,7.7,2012-05-31
88,TowerFall Ascension,6.8,6.8,2014-03-11
89,Battlefield 3: Armored Kill,7.1,7.1,2012-09-11
90,Borderlands 2: Tiny Tina's Assault on Dragon Keep,8.5,8.5,2013-06-25
91,Orcs Must Die! Unchained,6.3,6.3,2017-04-19
92,Huntdown,7.8,7.8,2020-05-12
93,Brothers in Arms: Road to Hill 30,7.3,7.3,2005-03-15
94,Dead Space 2,8.4,8.4,2011-01-25
95,Raw Data,6.6,6.6,2017-10-05
96,Serious Sam: The First Encounter,8.4,8.4,2001-03-21
97,Call of Duty: United Offensive,8.3,8.3,2004-09-14
98,Psychonauts,8.8,8.8,2005-04-19
99,Gears of War,7.7,7.7,2007-11-06
100,INSIDE,8.6,8.6,2016-07-07
101,Bastion,8.5,8.5,2011-08-16
102,Pac-Man Championship Edition DX +,7.5,7.5,2013-09-24
103,Borderlands: The Secret Armory of General Knoxx,7.1,7.1,2010-02-25
104,Call of Duty 2,8.5,8.5,2005-10-25
105,Astebreed,7.4,7.4,2014-05-30
106,Mushihimesama,8.1,8.1,2015-11-12
107,Tribes: Ascend,7.8,7.8,2012-04-12
108,The Binding of Isaac: Rebirth,8.4,8.4,2014-11-04
109,Titanfall,6.3,6.3,2014-03-11
110,Rayman Origins,8.4,8.4,2012-03-29
111,Gears of War 4,6.7,6.7,2016-10-11
112,Valfaris,8.0,8.0,2019-10-10
113,Crysis 2,6.9,6.9,2011-03-22
114,Call of Duty: Modern Warfare 2,4.4,4.4,2009-11-10
115,Max Payne 2: The Fall of Max Payne,8.9,8.9,2003-10-14
116,Wolfenstein II: The New Colossus,6.8,6.8,2017-10-27
117,Star Trek: Voyager Elite Force,7.8,7.8,2000-09-20
118,Unreal Tournament 2003,7.9,7.9,2002-09-30
119,Dead Space,8.1,8.1,2008-10-20
120,PlayerUnknown's Battlegrounds,4.7,4.7,2017-12-20
121,Thumper,7.6,7.6,2016-10-10
122,Bionic Commando Rearmed,6.7,6.7,2008-08-13
123,Titanfall 2,8.3,8.3,2016-10-28
124,Battlefield 3: Back to Karkand,7.3,7.3,2011-12-13
125,Heroes of the Storm,6.4,6.4,2015-06-02
126,Battlefield: Bad Company 2 Vietnam,8.0,8.0,2010-12-18
127,Call of Duty: Modern Warfare Remastered,6.4,6.4,2016-11-04
128,Injustice 2,7.7,7.7,2017-11-30
129,Tom Clancy's Rainbow Six,8.1,8.1,1998-08-21
130,GORN,7.0,7.0,2019-07-18
131,Tom Clancy's Rainbow Six: Vegas,7.7,7.7,2006-12-12
132,Clive Barker's Undying,8.8,8.8,2001-02-21
133,SWAT 4,8.6,8.6,2005-04-05
134,BlazBlue: Chrono Phantasma Extend,7.6,7.6,2016-03-02
135,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,8.1,8.1,2013-02-26
136,Hotline Miami,8.5,8.5,2012-10-23
137,Giants: Citizen Kabuto,8.7,8.7,2000-12-06
138,Aliens Versus Predator 2,8.7,8.7,2001-10-31
139,Operation Flashpoint: Cold War Crisis,8.7,8.7,2001-08-30
140,The Binding of Isaac: Afterbirth,8.2,8.2,2015-10-30
141,Deep Rock Galactic,8.0,8.0,2020-05-13
142,Russian Subway Dogs,tbd,tbd,2018-08-02
143,America's Army: Special Forces,8.4,8.4,2003-11-06
144,Peggle Deluxe,7.9,7.9,2007-03-06
145,DmC: Devil May Cry,7.0,7.0,2013-01-24
146,Shovel Knight,8.0,8.0,2014-06-26
147,Crimzon Clover  WORLD IGNITION,8.4,8.4,2014-06-06
148,Roche Fusion,8.1,8.1,2015-01-23
149,Hell is Other Demons,tbd,tbd,2019-05-20
150,Zenzizenzic,6.1,6.1,2015-07-23
151,Robo Recall,7.9,7.9,2017-03-01
152,SteamWorld Dig 2,8.3,8.3,2017-09-22
153,Far Cry 2,5.9,5.9,2008-10-21
154,AudioSurf,8.7,8.7,2008-02-15
155,Battlefield 3: Aftermath,7.7,7.7,2012-12-04
156,BattleBlock Theater,7.9,7.9,2014-05-15
157,Dragon Ball FighterZ,7.5,7.5,2018-01-26
158,Full Metal Furies,7.5,7.5,2018-01-17
159,Rogue Legacy,7.9,7.9,2013-06-27
160,Octahedron,7.3,7.3,2018-03-20
161,Shu,6.4,6.4,2016-10-04
162,Serious Sam: The Second Encounter,8.6,8.6,2002-02-04
163,DOOM,8.5,8.5,2016-05-13
164,Mighty Switch Force! Hyper Drive Edition,7.3,7.3,2015-06-25
165,Pinball FX 2,7.7,7.7,2012-10-27
166,Aliens Go Home Run,7.5,7.5,2017-01-27
167,PlanetSide 2,7.0,7.0,2012-11-20
168,Ikaruga,8.2,8.2,2014-02-18
169,Guilty Gear Xrd -SIGN-,7.6,7.6,2015-12-09
