rank,title,score,user_score,release_date
1,Grim Fandango,9.1,9.1,1998-10-14
2,Minecraft,7.7,7.7,2011-11-18
3,Kentucky Route Zero - Act III,6.7,6.7,2014-05-06
4,The Longest Journey,8.8,8.8,2000-11-16
5,Kentucky Route Zero - Act IV,6.3,6.3,2016-07-20
6,The Walking Dead: A Telltale Games Series,8.8,8.8,2012-04-24
7,The Walking Dead: Episode 5 - No Time Left,8.9,8.9,2012-11-21
8,The Curse of Monkey Island,9.0,9.0,1997-10-31
9,Return of the Obra Dinn,8.1,8.1,2018-10-18
10,What Remains of Edith Finch,8.3,8.3,2017-04-24
11,Thirty Flights of Loving,5.0,5.0,2012-08-20
12,The Stanley Parable,8.0,8.0,2013-10-17
13,Night in the Woods,7.4,7.4,2017-02-21
14,Subnautica,8.5,8.5,2018-01-23
15,Steins;Gate,8.8,8.8,2014-03-31
16,Monkey Island 2 Special Edition: LeChuck's Revenge,8.8,8.8,2010-07-07
17,Year Walk,7.0,7.0,2014-03-06
18,The Witness,6.9,6.9,2016-01-26
19,Unavowed,7.9,7.9,2018-08-08
20,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,8.7,8.7,2015-10-20
21,Gone Home,5.4,5.4,2013-08-15
22,Kentucky Route Zero,7.6,7.6,2013-02-22
23,The Gallery - Episode 2: Heart of the Emberstone,7.1,7.1,2017-10-18
24,Her Story,6.1,6.1,2015-06-24
25,The Secret of Monkey Island: Special Edition,8.9,8.9,2009-07-15
26,Full Throttle,8.6,8.6,1995-04-30
27,Escape from Monkey Island,7.5,7.5,2000-11-08
28,Day of the Tentacle Remastered,7.9,7.9,2016-03-21
29,The Talos Principle,8.5,8.5,2014-12-11
30,Sam & Max Episode 205: What's New Beelzebub?,7.1,7.1,2008-04-10
31,Tales from the Borderlands: A Telltale Game Series,8.5,8.5,2015-10-20
32,Paradigm,7.7,7.7,2017-04-05
33,Indigo Prophecy,8.3,8.3,2005-09-20
34,Sam & Max Episode 204: Chariots of the Dogs,7.0,7.0,2008-03-13
35,Machinarium,8.7,8.7,2009-10-16
36,The Wolf Among Us: Episode 1 - Faith,8.9,8.9,2013-10-11
37,The Walking Dead: Episode 3 - Long Road Ahead,8.4,8.4,2012-08-29
38,Batman: The Enemy Within - Episode 5: Same Stitch,7.4,7.4,2018-03-26
39,Ghost Giant,tbd,tbd,2020-02-20
40,The Last Door: Season 2,7.3,7.3,2016-03-29
41,Nancy Drew: The Haunted Carousel,8.4,8.4,2003-08-22
42,Papers Please,8.5,8.5,2013-08-08
43,Obsidian,7.1,7.1,1996-12-31
