rank,title,score,user_score,release_date
1,Half-Life 2,9.1,9.1,2004-11-16
2,The Orange Box,9.2,9.2,2007-10-10
3,Half-Life,9.0,9.0,1998-11-19
4,BioShock,8.5,8.5,2007-08-21
5,Portal 2,9.1,9.1,2011-04-18
6,The Elder Scrolls V: Skyrim,8.2,8.2,2011-11-10
7,Quake,8.8,8.8,1996-06-22
8,BioShock Infinite,8.6,8.6,2013-03-25
9,The Elder Scrolls IV: Oblivion,8.1,8.1,2006-03-20
10,Half-Life: Alyx,9.1,9.1,2020-03-23
11,Unreal Tournament 2004,8.8,8.8,2004-03-16
12,Minecraft,7.7,7.7,2011-11-18
13,Call of Duty 4: Modern Warfare,8.5,8.5,2007-11-05
14,Team Fortress 2,9.1,9.1,2007-10-10
15,Unreal Tournament (1999),9.0,9.0,1999-11-30
16,Medal of Honor: Allied Assault,8.6,8.6,2002-01-20
17,Overwatch,6.5,6.5,2016-05-23
18,Crysis,8.1,8.1,2007-11-13
19,Star Wars Jedi Knight: Dark Forces II,8.6,8.6,1997-10-09
20,The Operative: No One Lives Forever,8.7,8.7,2000-11-11
21,Battlefield 2,8.4,8.4,2005-06-21
22,Fallout 3,7.8,7.8,2008-10-28
23,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,8.7,8.7,2002-09-30
24,Call of Duty,8.5,8.5,2003-10-29
25,Return to Castle Wolfenstein: Enemy Territory,8.9,8.9,2003-05-29
26,F.E.A.R. Combat,7.6,7.6,2006-08-17
27,Portal,9.2,9.2,2007-10-10
28,Metro: 2033 Redux,8.0,8.0,2014-08-25
29,Half-Life 2: Episode Two,9.1,9.1,2007-10-10
30,The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,8.6,8.6,2004-12-08
31,Deus Ex: Human Revolution,8.5,8.5,2011-08-23
32,Star Wars Jedi Knight II: Jedi Outcast,8.7,8.7,2002-03-26
33,The Elder Scrolls III: Morrowind,8.9,8.9,2002-05-01
34,Fallout,8.8,8.8,1997-10-09
35,Left 4 Dead,9.1,9.1,2008-11-17
36,Left 4 Dead 2,8.4,8.4,2009-11-16
37,Borderlands 2,8.2,8.2,2012-09-17
38,Duke Nukem 3D,8.7,8.7,1996-01-29
39,Far Cry,8.0,8.0,2004-03-23
40,Descent 3,7.7,7.7,2000-06-14
41,Descent II,8.7,8.7,1996-02-29
42,Battlefield 3,7.6,7.6,2011-10-25
43,Battlefield 1942,8.6,8.6,2002-09-10
44,Return of the Obra Dinn,8.1,8.1,2018-10-18
45,What Remains of Edith Finch,8.3,8.3,2017-04-24
46,DUSK,8.2,8.2,2018-12-10
47,F.E.A.R.,8.3,8.3,2005-10-17
48,Tribes 2,8.3,8.3,2001-03-28
49,Far Cry 3,8.3,8.3,2012-12-04
50,Return to Castle Wolfenstein,8.7,8.7,2001-11-19
51,Shogo: Mobile Armor Division,8.4,8.4,1998-09-30
52,Thirty Flights of Loving,5.0,5.0,2012-08-20
53,DOOM Eternal,7.3,7.3,2020-03-20
54,Apex Legends,5.9,5.9,2019-02-04
55,The Stanley Parable,8.0,8.0,2013-10-17
56,BioShock 2,8.0,8.0,2010-02-09
57,Counter-Strike: Source,8.9,8.9,2004-10-07
58,Battlefield 1,7.1,7.1,2016-10-21
59,Counter-Strike,9.2,9.2,2000-11-08
60,DOOM 3,7.7,7.7,2004-08-03
61,Battlefield: Bad Company 2,8.3,8.3,2010-03-02
62,Steins;Gate,8.8,8.8,2014-03-31
63,Half-Life 2: Episode One,8.6,8.6,2006-06-01
64,Year Walk,7.0,7.0,2014-03-06
65,Battlefield 3: Armored Kill,7.1,7.1,2012-09-11
66,Borderlands 2: Tiny Tina's Assault on Dragon Keep,8.5,8.5,2013-06-25
67,The Witness,6.9,6.9,2016-01-26
68,Brothers in Arms: Road to Hill 30,7.3,7.3,2005-03-15
69,Raw Data,6.6,6.6,2017-10-05
70,Serious Sam: The First Encounter,8.4,8.4,2001-03-21
71,Call of Duty: United Offensive,8.3,8.3,2004-09-14
72,Gone Home,5.4,5.4,2013-08-15
73,Fallout 2,9.1,9.1,1998-09-30
74,Borderlands: The Secret Armory of General Knoxx,7.1,7.1,2010-02-25
75,Call of Duty 2,8.5,8.5,2005-10-25
76,Tribes: Ascend,7.8,7.8,2012-04-12
77,Titanfall,6.3,6.3,2014-03-11
78,Crysis 2,6.9,6.9,2011-03-22
79,Call of Duty: Modern Warfare 2,4.4,4.4,2009-11-10
80,Wolfenstein II: The New Colossus,6.8,6.8,2017-10-27
81,Star Trek: Voyager Elite Force,7.8,7.8,2000-09-20
82,Unreal Tournament 2003,7.9,7.9,2002-09-30
83,PlayerUnknown's Battlegrounds,4.7,4.7,2017-12-20
84,Titanfall 2,8.3,8.3,2016-10-28
85,Battlefield 3: Back to Karkand,7.3,7.3,2011-12-13
86,Battlefield: Bad Company 2 Vietnam,8.0,8.0,2010-12-18
87,Call of Duty: Modern Warfare Remastered,6.4,6.4,2016-11-04
88,The Elder Scrolls IV: Shivering Isles,8.3,8.3,2007-03-26
89,The Talos Principle,8.5,8.5,2014-12-11
90,Tom Clancy's Rainbow Six,8.1,8.1,1998-08-21
91,Legend of Grimrock II,8.1,8.1,2014-10-15
92,Tom Clancy's Rainbow Six: Vegas,7.7,7.7,2006-12-12
93,Clive Barker's Undying,8.8,8.8,2001-02-21
94,SWAT 4,8.6,8.6,2005-04-05
95,Aliens Versus Predator 2,8.7,8.7,2001-10-31
96,Wizardry 8,8.3,8.3,2001-11-14
97,Operation Flashpoint: Cold War Crisis,8.7,8.7,2001-08-30
98,Deep Rock Galactic,8.0,8.0,2020-05-13
99,America's Army: Special Forces,8.4,8.4,2003-11-06
100,Far Cry 2,5.9,5.9,2008-10-21
101,Battlefield 3: Aftermath,7.7,7.7,2012-12-04
102,The Elder Scrolls III: Bloodmoon,8.3,8.3,2003-06-03
103,Serious Sam: The Second Encounter,8.6,8.6,2002-02-04
104,DOOM,8.5,8.5,2016-05-13
105,Fallout: New Vegas,8.7,8.7,2010-10-19
106,PlanetSide 2,7.0,7.0,2012-11-20
107,Destiny 2: Forsaken,6.0,6.0,2018-09-04
108,Black Mesa,8.8,8.8,2012-09-14
109,Metro Redux,7.7,7.7,2014-08-26
110,Crysis Warhead,7.9,7.9,2008-09-16
111,Tom Clancy's The Division 2,4.6,4.6,2019-03-15
112,Tron 2.0,8.3,8.3,2003-08-26
113,Brothers in Arms: Earned in Blood,7.3,7.3,2005-10-04
114,Battlefield Vietnam,7.6,7.6,2004-03-14
115,Enemy Territory: Quake Wars,8.3,8.3,2007-10-02
116,Battlefield 1942: The Road to Rome,7.6,7.6,2003-02-02
117,Borderlands: The Zombie Island of Dr. Ned,7.3,7.3,2009-12-08
118,SUPERHOT VR,7.6,7.6,2016-12-05
119,Halo: Combat Evolved,7.6,7.6,2003-09-30
120,Call of Duty: Black Ops 4,3.1,3.1,2018-10-12
121,Unreal Tournament III,8.0,8.0,2007-11-19
122,Devil Daggers,7.2,7.2,2016-02-18
123,Destiny 2,4.0,4.0,2017-10-24
124,Tom Clancy's Rainbow Six 3: Raven Shield,8.7,8.7,2003-03-19
125,DOOM II,8.9,8.9,1994-09-30
126,The Elder Scrolls V: Skyrim - Dragonborn,8.0,8.0,2013-02-05
127,Paladins,7.6,7.6,2018-05-08
128,Quern - Undying Thoughts,8.5,8.5,2016-11-28
129,Prey (2006),7.9,7.9,2006-07-11
130,Call of Duty: World at War,7.6,7.6,2008-11-10
131,Tribes: Vengeance,7.7,7.7,2004-10-12
132,Myst III: Exile,7.7,7.7,2001-05-08
133,Counter-Strike: Global Offensive,7.4,7.4,2012-08-21
134,Gunheart,tbd,tbd,2018-06-04
135,L.A. Noire: The VR Case Files,6.5,6.5,2017-12-15
136,SUPERHOT,7.5,7.5,2016-02-25
137,Tom Clancy's Ghost Recon: Desert Siege,6.7,6.7,2002-03-27
138,Metro Exodus,7.0,7.0,2019-02-15
139,The Talos Principle: Road To Gehenna,7.7,7.7,2015-07-23
140,Tom Clancy's Ghost Recon: Island Thunder,6.7,6.7,2002-09-25
141,S.T.A.L.K.E.R.: Shadow of Chernobyl,8.5,8.5,2007-03-20
142,Bulletstorm,7.7,7.7,2011-02-21
143,Borderlands 2: Mr. Torgue's Campaign of Carnage,7.2,7.2,2012-11-20
144,Fallout: New Vegas - Old World Blues,7.7,7.7,2011-07-19
145,ETHER One,6.8,6.8,2014-03-25
146,Pistol Whip,6.9,6.9,2019-11-07
147,The Vanishing of Ethan Carter,8.0,8.0,2014-09-25
148,Blood,8.8,8.8,1997-05-31
149,Warhammer: Vermintide 2,7.5,7.5,2018-03-08
150,Joint Operations: Typhoon Rising,8.6,8.6,2004-06-15
151,Prey,8.1,8.1,2017-05-05
152,Metro: Last Light,8.5,8.5,2013-05-13
153,Rising Storm,8.5,8.5,2013-05-30
154,America's Army,5.8,5.8,2002-07-04
155,Battlefield 1: In the Name of the Tsar,5.7,5.7,2017-09-05
156,Quake 4,7.6,7.6,2005-10-11
157,Battlefield 4,6.1,6.1,2013-10-29
158,Painkiller,8.1,8.1,2004-04-12
159,Nancy Drew: Danger on Deception Island,7.8,7.8,2003-10-01
160,Wolfenstein: The New Order,8.2,8.2,2014-05-19
161,Rising Storm 2: Vietnam,7.6,7.6,2017-05-30
162,SWAT 3: Elite Edition,8.0,8.0,2000-10-06
163,Arizona Sunshine,7.3,7.3,2016-12-05
164,Metro 2033,8.0,8.0,2010-03-16
