rank,title,score,user_score,release_date
1,F1 Challenge '99-'02,7.5,7.5,2003-06-24
2,GTR 2,8.7,8.7,2006-09-29
3,F1 2017,7.3,7.3,2017-08-24
4,NASCAR Racing 2002 Season,5.4,5.4,2002-02-14
5,NASCAR Racing 4,7.4,7.4,2001-02-06
6,NASCAR Racing 2003 Season,7.6,7.6,2003-02-14
7,DiRT 2,8.2,8.2,2009-12-08
8,Superbike 2001,6.6,6.6,2000-10-09
9,F1 2002,7.4,7.4,2002-06-13
10,Forza Horizon 4,7.7,7.7,2018-09-28
11,Burnout Paradise: The Ultimate Box,7.6,7.6,2009-02-05
12,GRID (2008),7.9,7.9,2008-06-03
13,Grand Prix 3,7.2,7.2,2000-08-24
14,Colin McRae Rally 04,7.5,7.5,2004-04-02
15,F1 2019,7.0,7.0,2019-06-27
16,Forza Horizon 3,7.0,7.0,2016-09-27
17,Need for Speed: Hot Pursuit,6.8,6.8,2010-11-16
18,F1 2016,7.7,7.7,2016-08-19
19,DiRT 3,7.0,7.0,2011-05-23
20,DiRT Rally,8.5,8.5,2015-12-07
21,Rocket League,8.1,8.1,2015-07-05
22,NASCAR SimRacing,4.8,4.8,2005-02-15
23,GTR: FIA GT Racing Game,7.9,7.9,2005-05-03
24,Assetto Corsa,8.4,8.4,2014-12-19
25,Trials Evolution: Gold Edition,6.8,6.8,2013-03-21
26,DiRT Rally 2.0,4.6,4.6,2019-02-26
27,GT Legends,7.8,7.8,2006-01-23
28,Sprint Vector,6.8,6.8,2018-02-02
29,DiRT,7.3,7.3,2007-06-19
30,MotoGP 2,7.8,7.8,2003-05-21
31,TOCA Race Driver 3,7.8,7.8,2006-02-22
32,Project CARS 2,7.1,7.1,2017-09-21
33,Shift 2: Unleashed,6.1,6.1,2011-03-29
34,F1 2010,6.6,6.6,2010-09-21
35,Need for Speed: Shift,5.8,5.8,2009-09-15
36,Project CARS,7.1,7.1,2015-05-06
37,Colin McRae Rally 2.0,8.5,8.5,2001-02-13
38,World of Outlaws: Sprint Cars,7.2,7.2,2003-02-11
39,Trials Rising,4.8,4.8,2019-02-26
40,RACE 07: Official WTCC Game,8.8,8.8,2007-10-09
41,Colin McRae Rally 2005,7.6,7.6,2004-10-28
42,GTR Evolution,7.8,7.8,2008-09-01
43,F1 2011,7.1,7.1,2011-09-19
44,F1 2018,7.4,7.4,2018-08-23
45,Rally Trophy,7.4,7.4,2001-11-20
46,Need for Speed: Underground,8.3,8.3,2003-11-17
47,TrackMania Sunrise,7.8,7.8,2005-05-06
48,Joe Danger 2: The Movie,7.2,7.2,2013-06-24
49,Need for Speed: Underground 2,8.6,8.6,2004-11-09
50,Forza Motorsport 7,4.4,4.4,2017-10-03
51,SnowRunner,6.8,6.8,2020-04-28
52,Xpand Rally,7.4,7.4,2006-04-20
53,Need for Speed: Most Wanted,8.7,8.7,2005-11-15
54,The Next Penelope,8.2,8.2,2015-05-29
55,Wreckfest,7.4,7.4,2018-06-14
56,Midnight Club II,7.9,7.9,2003-06-30
57,RACE: The WTCC Game,7.5,7.5,2006-11-24
58,OutRun 2006: Coast 2 Coast,7.6,7.6,2006-06-27
59,Blur,7.4,7.4,2010-05-25
60,NASCAR Heat,7.7,7.7,2000-09-27
61,TrackMania 2 Canyon,7.6,7.6,2011-09-14
62,TOCA Race Driver 2: The Ultimate Racing Simulator,7.7,7.7,2004-04-13
63,Redout (2016),7.9,7.9,2016-09-02
64,MotoGP 20,7.3,7.3,2020-04-23
65,Dyad,7.6,7.6,2013-04-24
66,Trials Fusion,6.9,6.9,2014-04-16
67,GRID 2,5.8,5.8,2013-05-27
68,Pure,7.0,7.0,2008-09-16
69,F1 2012,7.1,7.1,2012-09-17
70,TrackMania United,8.8,8.8,2006-11-17
71,Driver: San Francisco,7.1,7.1,2011-09-27
72,Monster Energy Supercross - The Official Videogame 2,6.7,6.7,2019-02-08
73,Test Drive Unlimited,8.1,8.1,2007-03-20
74,F1 2001,7.1,7.1,2001-10-14
75,Split/Second,8.0,8.0,2010-05-18
76,Sonic & All-Stars Racing Transformed,8.5,8.5,2013-01-31
77,FlatOut: Ultimate Carnage,7.6,7.6,2008-08-26
78,Trackmania Turbo,7.1,7.1,2016-03-24
79,Race the Sun,7.3,7.3,2013-08-19
80,TrackMania 2 Valley,7.7,7.7,2013-07-04
81,iRacing,6.9,6.9,2008-08-26
82,Need for Speed: Most Wanted - A Criterion Game,4.4,4.4,2012-10-30
83,Obliteracers,7.7,7.7,2016-02-23
84,NASCAR Thunder 2004,7.5,7.5,2003-09-16
85,Descenders,5.8,5.8,2019-05-07
86,Midtown Madness 2,8.6,8.6,2000-09-21
87,DiRT 4,5.9,5.9,2017-06-08
88,GRID Autosport,6.3,6.3,2014-06-26
89,Need for Speed: Carbon,7.4,7.4,2006-10-31
