rank,title,score,user_score,release_date
1,Baldur's Gate II: Shadows of Amn,9.1,9.1,2000-09-24
2,Divinity: Original Sin II - Definitive Edition,8.9,8.9,2018-08-31
3,The Elder Scrolls V: Skyrim,8.2,8.2,2011-11-10
4,Mass Effect 2,8.9,8.9,2010-01-26
5,The Elder Scrolls IV: Oblivion,8.1,8.1,2006-03-20
6,Divinity: Original Sin Enhanced Edition,8.2,8.2,2015-10-27
7,Diablo,8.7,8.7,1996-12-31
8,The Witcher 3: Wild Hunt,9.4,9.4,2015-05-18
9,Divinity: Original Sin II,8.8,8.8,2017-09-14
10,Star Wars: Knights of the Old Republic,9.0,9.0,2003-11-18
11,World of Warcraft,7.4,7.4,2004-11-23
12,Undertale,8.4,8.4,2015-09-15
13,The Witcher 3: Wild Hunt - Blood and Wine,9.3,9.3,2016-05-30
14,World of Warcraft: Wrath of the Lich King,7.8,7.8,2008-11-13
15,Baldur's Gate,8.9,8.9,1998-12-21
16,World of Warcraft: The Burning Crusade,8.1,8.1,2007-01-16
17,Fallout 3,7.8,7.8,2008-10-28
18,Planescape: Torment,9.2,9.2,1999-12-14
19,Neverwinter Nights,8.1,8.1,2002-06-16
20,Dragon Age: Origins,8.7,8.7,2009-11-03
21,Disco Elysium,8.3,8.3,2019-10-15
22,Dark Souls II,7.2,7.2,2014-04-25
23,Final Fantasy XIV: Shadowbringers,9.0,9.0,2019-07-02
24,World of Warcraft: Cataclysm,5.7,5.7,2010-12-07
25,Guild Wars 2,8.1,8.1,2012-08-28
26,Freedom Force,7.8,7.8,2002-03-24
27,The Witcher 3: Wild Hunt - Hearts of Stone,9.1,9.1,2015-10-13
28,Dark Souls III,8.4,8.4,2016-04-11
29,Pillars of Eternity,8.3,8.3,2015-03-26
30,The Elder Scrolls III: Morrowind,8.9,8.9,2002-05-01
31,Fallout,8.8,8.8,1997-10-09
32,Mass Effect,8.6,8.6,2008-05-28
33,Guild Wars,8.4,8.4,2005-04-26
34,Mass Effect 3,5.9,5.9,2012-03-06
35,Stardew Valley,8.7,8.7,2016-02-26
36,Torchlight II,8.5,8.5,2012-09-20
37,The Lord of the Rings Online: Riders of Rohan,7.0,7.0,2012-10-15
38,Diablo III,4.1,4.1,2012-05-15
39,Monster Hunter: World,6.6,6.6,2018-08-09
40,EVE Online: Special Edition,7.8,7.8,2009-03-10
41,World of Warcraft: Legion,7.3,7.3,2016-08-30
42,Pillars of Eternity II: Deadfire,7.8,7.8,2018-05-08
43,Dark Age of Camelot,7.8,7.8,2001-09-01
44,Baldur's Gate II: Throne of Bhaal,8.8,8.8,2001-06-21
45,Diablo II,8.8,8.8,2000-06-29
46,The Witcher 2: Assassins of Kings,8.5,8.5,2011-05-17
47,Final Fantasy XIV: Stormblood,8.2,8.2,2017-06-20
48,Shadowrun: Dragonfall - Director's Cut,8.3,8.3,2014-09-18
49,Monster Hunter: World - Iceborne,7.6,7.6,2020-01-09
50,Crypt of the NecroDancer,7.7,7.7,2015-04-23
51,Diablo II: Lord of Destruction,9.1,9.1,2001-06-27
52,Icewind Dale,8.3,8.3,2000-06-29
53,Wasteland 2: Director's Cut,7.6,7.6,2015-10-13
54,Diablo III: Reaper of Souls,6.6,6.6,2014-03-25
55,Divinity: Original Sin,8.7,8.7,2014-01-17
56,World of Warcraft: Warlords of Draenor,5.8,5.8,2014-11-13
57,West of Loathing,7.6,7.6,2017-08-10
58,Bastion,8.5,8.5,2011-08-16
59,Fallout 2,9.1,9.1,1998-09-30
