rank,title,score,user_score,release_date
1,Command & Conquer,8.9,8.9,1995-09-26
2,Company of Heroes,8.8,8.8,2006-09-13
3,Starcraft II: Wings of Liberty,8.3,8.3,2010-07-27
4,Homeworld,8.8,8.8,1999-08-31
5,Warcraft III: Reign of Chaos,9.2,9.2,2002-07-03
6,Sid Meier's Gettysburg!,7.4,7.4,1997-09-30
7,Rome: Total War,9.1,9.1,2004-09-22
8,Age of Empires II: The Age of Kings,9.0,9.0,1999-09-30
9,Myth: The Fallen Lords,8.5,8.5,1997-10-31
10,Black & White,7.8,7.8,2001-03-26
11,Dota 2,6.5,6.5,2013-07-09
12,Empire: Total War,7.0,7.0,2009-03-03
13,Command & Conquer: Red Alert,8.8,8.8,1996-10-31
14,Age of Mythology,8.9,8.9,2002-11-01
15,Sacrifice,8.7,8.7,2000-11-05
16,Homeworld: Cataclysm,8.8,8.8,2000-09-07
17,Combat Mission: Barbarossa to Berlin,7.7,7.7,2002-10-29
18,World in Conflict,8.1,8.1,2007-09-18
19,Rise of Nations,8.8,8.8,2003-05-20
20,Medieval: Total War,8.7,8.7,2002-08-19
21,Crusader Kings II: The Old Gods,8.7,8.7,2013-05-28
22,Age of Empires II: The Conquerors Expansion,9.1,9.1,2000-08-24
23,Starcraft,9.1,9.1,1998-03-31
24,Warcraft III: The Frozen Throne,9.3,9.3,2003-07-01
25,Myth II: Soulblighter,8.7,8.7,1998-11-30
26,Medieval II: Total War,9.0,9.0,2006-11-13
27,Starcraft II: Legacy of the Void,8.3,8.3,2015-11-10
28,Rise of Nations: Thrones & Patriots,8.8,8.8,2004-04-27
29,Plants vs. Zombies,8.9,8.9,2009-05-05
30,Europa Universalis II,8.7,8.7,2001-11-12
31,RimWorld,8.9,8.9,2018-10-17
32,Sins of a Solar Empire,8.2,8.2,2008-02-04
33,Orcs Must Die! Unchained,6.3,6.3,2017-04-19
34,Kohan: Immortal Sovereigns,7.7,7.7,2001-03-14
35,Shogun: Total War Warlord Edition,8.7,8.7,2001-08-13
36,Company of Heroes: Opposing Fronts,8.7,8.7,2007-09-24
37,Europa Universalis IV,8.7,8.7,2013-08-13
38,Total War: WARHAMMER II,7.7,7.7,2017-09-28
39,Warhammer 40000: Dawn of War - Dark Crusade,8.8,8.8,2006-10-09
40,Commandos 2: Men of Courage,8.9,8.9,2001-09-20
