rank,title,score,user_score,release_date
1,The Sims,7.9,7.9,2000-02-04
2,F1 Challenge '99-'02,7.5,7.5,2003-06-24
3,FreeSpace 2,8.7,8.7,1999-09-30
4,IL-2 Sturmovik,8.6,8.6,2001-11-18
5,The Sims 2,8.8,8.8,2004-09-14
6,Silent Hunter III,7.8,7.8,2005-03-15
7,Falcon 4.0: Allied Force,7.8,7.8,2005-06-28
8,Flight Simulator 2002,7.6,7.6,2001-10-19
9,GTR 2,8.7,8.7,2006-09-29
10,F1 2017,7.3,7.3,2017-08-24
11,NASCAR Racing 2002 Season,5.4,5.4,2002-02-14
12,NASCAR Racing 4,7.4,7.4,2001-02-06
13,NASCAR Racing 2003 Season,7.6,7.6,2003-02-14
14,DiRT 2,8.2,8.2,2009-12-08
15,Microsoft Flight Simulator 2004: A Century of Flight,7.8,7.8,2003-07-29
16,FirePower for Microsoft Combat Flight Simulator 3,4.9,4.9,2004-06-11
17,Superbike 2001,6.6,6.6,2000-10-09
18,Kerbal Space Program,8.2,8.2,2015-04-27
19,F1 2002,7.4,7.4,2002-06-13
20,Forza Horizon 4,7.7,7.7,2018-09-28
21,GRID (2008),7.9,7.9,2008-06-03
22,MechWarrior 4: Vengeance,7.6,7.6,2000-11-23
23,DCS: A-10C Warthog,8.8,8.8,2011-04-22
24,Grand Prix 3,7.2,7.2,2000-08-24
25,Colin McRae Rally 04,7.5,7.5,2004-04-02
26,F1 2019,7.0,7.0,2019-06-27
27,Forza Horizon 3,7.0,7.0,2016-09-27
28,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,7.2,7.2,2000-07-31
29,Steel Beasts,7.7,7.7,2000-09-24
30,The Sims 3,7.7,7.7,2009-06-02
31,IL-2 Sturmovik: Forgotten Battles,7.9,7.9,2003-03-02
32,F1 2016,7.7,7.7,2016-08-19
33,DiRT 3,7.0,7.0,2011-05-23
34,IL-2 Sturmovik: 1946,8.7,8.7,2007-03-13
35,DiRT Rally,8.5,8.5,2015-12-07
36,Allegiance,7.1,7.1,2000-03-31
37,Falcon 4.0,7.8,7.8,1998-11-30
38,The Sims 4: Realm of Magic,3.3,3.3,2019-09-10
39,NASCAR SimRacing,4.8,4.8,2005-02-15
40,GTR: FIA GT Racing Game,7.9,7.9,2005-05-03
41,Assetto Corsa,8.4,8.4,2014-12-19
42,Freelancer,8.9,8.9,2003-03-03
43,The Sims: Hot Date,7.7,7.7,2001-11-12
44,IL-2 Sturmovik: Forgotten Battles - Ace,8.4,8.4,2004-03-02
45,DiRT Rally 2.0,4.6,4.6,2019-02-26
46,Flanker 2.5,7.8,7.8,2002-03-26
47,GT Legends,7.8,7.8,2006-01-23
48,The Sims 4: Island Living,4.9,4.9,2019-06-21
