rank,title,score,user_score,release_date
1,Grim Fandango,9.1,9.1,1998-10-14
2,Star Wars: Knights of the Old Republic,9.0,9.0,2003-11-18
3,The Longest Journey,8.8,8.8,2000-11-16
4,Call of Duty,8.5,8.5,2003-10-29
5,Max Payne,9.1,9.1,2001-07-23
6,Max Payne 3,7.7,7.7,2012-05-31
7,Dead Space 2,8.4,8.4,2011-01-25
8,Call of Duty: United Offensive,8.3,8.3,2004-09-14
9,Gears of War,7.7,7.7,2007-11-06
10,The Gallery - Episode 2: Heart of the Emberstone,7.1,7.1,2017-10-18
11,Gears of War 4,6.7,6.7,2016-10-11
12,Max Payne 2: The Fall of Max Payne,8.9,8.9,2003-10-14
13,Dead Space,8.1,8.1,2008-10-20
14,Escape from Monkey Island,7.5,7.5,2000-11-08
15,Sam & Max Episode 205: What's New Beelzebub?,7.1,7.1,2008-04-10
16,Giants: Citizen Kabuto,8.7,8.7,2000-12-06
17,Indigo Prophecy,8.3,8.3,2005-09-20
18,Sam & Max Episode 204: Chariots of the Dogs,7.0,7.0,2008-03-13
19,Machinarium,8.7,8.7,2009-10-16
20,Star Wars: Knights of the Old Republic II - The Sith Lords,8.5,8.5,2005-02-08
21,DOOM,8.5,8.5,2016-05-13
22,Teleglitch,7.6,7.6,2012-12-10
23,Tom Clancy's The Division 2,4.6,4.6,2019-03-15
24,Grim Fandango Remastered,8.1,8.1,2015-01-26
25,MDK2,7.8,7.8,2000-05-31
26,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,7.5,7.5,2010-05-18
27,Sunset Overdrive,7.3,7.3,2018-11-16
28,Metal Gear Rising: Revengeance,8.0,8.0,2014-01-09
29,Helldivers,6.9,6.9,2015-12-07
30,ABZU,6.8,6.8,2016-08-02
31,L.A. Noire: The Complete Edition,7.9,7.9,2011-11-08
32,Red Faction: Guerrilla,7.6,7.6,2009-09-15
33,Sam & Max Episode 105: Reality 2.0,7.6,7.6,2007-03-29
34,Gemini Rue,8.3,8.3,2011-02-24
35,Tales of Monkey Island Chapter 3: Lair of the Leviathan,7.6,7.6,2009-09-29
36,Broken Sword: The Sleeping Dragon,7.3,7.3,2003-11-17
37,Monday Night Combat,7.2,7.2,2011-01-24
38,Sam & Max Episode 201: Ice Station Santa,8.5,8.5,2007-11-08
39,Syberia,8.5,8.5,2002-09-01
40,Gears 5,6.7,6.7,2019-09-10
41,Botanicula,8.3,8.3,2012-04-19
42,Plants vs Zombies: Garden Warfare 2,7.6,7.6,2016-02-23
43,Broken Age: Act 1,7.7,7.7,2014-01-28
44,Remnant: From the Ashes - Swamps of Corsus,6.3,6.3,2020-04-28
45,Tales of Monkey Island Chapter 5: Rise of the Pirate God,7.6,7.6,2009-12-08
46,Fortnite,2.9,2.9,2017-07-25
47,Hunt: Showdown,7.3,7.3,2019-08-27
48,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,7.8,7.8,2010-04-15
49,Star Trek: Deep Space Nine: The Fallen,7.7,7.7,2000-11-15
50,Sam & Max Episode 101: Culture Shock,7.7,7.7,2006-10-18
51,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,7.7,7.7,2010-08-30
52,Syberia II,8.4,8.4,2004-03-30
53,Detroit: Become Human,6.2,6.2,2019-12-12
54,Sam & Max Episode 202: Moai Better Blues,6.9,6.9,2008-01-10
55,Sam & Max Episode 104: Abe Lincoln Must Die!,7.4,7.4,2007-02-22
56,Guns Gore & Cannoli 2,7.8,7.8,2018-03-02
57,Freedom Fighters,7.8,7.8,2003-10-01
58,World of Tanks,3.5,3.5,2011-04-12
59,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,7.5,7.5,2009-10-30
60,RoboBlitz,7.7,7.7,2006-11-07
61,The Path,6.8,6.8,2009-03-18
62,Runaway: A Twist of Fate,7.9,7.9,2011-04-21
63,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,7.8,7.8,2009-07-07
64,Earth Defense Force 4.1: The Shadow of New Despair,8.3,8.3,2016-07-18
65,Sam & Max Episode 102: Situation: Comedy,7.4,7.4,2006-12-20
66,Sam & Max Episode 106: Bright Side of the Moon,6.9,6.9,2007-04-26
67,Tom Clancy's The Division,6.0,6.0,2016-03-08
68,Sam & Max Episode 203: Night of the Raving Dead,7.3,7.3,2008-02-12
69,Shadowgrounds Survivor,7.5,7.5,2007-11-14
70,Tom Clancy's The Division 2: Warlords of New York,0.4,0.4,2020-03-03
71,Transformers: Fall of Cybertron,7.9,7.9,2012-08-20
72,Vanquish,8.8,8.8,2017-05-25
73,Teleglitch: Die More Edition,7.0,7.0,2013-07-24
74,Two Worlds II: Pirates of the Flying Fortress,7.3,7.3,2011-09-30
75,Dead Space 3,6.1,6.1,2013-02-05
76,We Were Here Together,5.6,5.6,2019-10-10
